f: 14, s: 15, c: v, p: vdvvvvvsvvvvvfpv, a: f == v, b: p == v, valid: false
f: 7, s: 8, c: q, p: vgctvvqq, a: q == q, b: q == q, valid: false
f: 3, s: 8, c: g, p: ggtgggggggg, a: t == g, b: g == g, valid: true
f: 5, s: 6, c: b, p: pbbctbbbvnbjbbb, a: t == b, b: b == b, valid: true
f: 1, s: 2, c: w, p: jwww, a: j == w, b: w == w, valid: true
f: 12, s: 14, c: z, p: zszzzzznzzztzz, a: t == z, b: z == z, valid: true
f: 2, s: 3, c: j, p: fnmgcjbjt, a: n == j, b: m == j, valid: false
f: 4, s: 9, c: c, p: cccphccccpthcwwc, a: p == c, b: c == c, valid: true
f: 5, s: 12, c: g, p: ggsgxggggsgqggggg, a: x == g, b: q == g, valid: false
f: 4, s: 5, c: v, p: vvvvvv, a: v == v, b: v == v, valid: false
f: 8, s: 17, c: q, p: hdhtqlwpzqqqqqpqqhq, a: p == q, b: q == q, valid: true
f: 9, s: 15, c: s, p: sschdsssnvssvss, a: n == s, b: s == s, valid: true
f: 7, s: 8, c: d, p: sdhkdtpcdwgddtdd, a: p == d, b: c == d, valid: false
f: 1, s: 2, c: d, p: ddjdd, a: d == d, b: d == d, valid: false
f: 5, s: 9, c: b, p: zbzbbbklzbbb, a: b == b, b: z == b, valid: true
f: 9, s: 10, c: g, p: gggggggggg, a: g == g, b: g == g, valid: false
f: 2, s: 4, c: t, p: kttt, a: t == t, b: t == t, valid: false
f: 6, s: 13, c: t, p: pttsttttttttzt, a: t == t, b: z == t, valid: true
f: 16, s: 17, c: h, p: hhhhhhhhmhhhhhhtdhh, a: t == h, b: d == h, valid: false
f: 4, s: 10, c: r, p: rmpldrbrqcfqrkhbnqc, a: l == r, b: c == r, valid: false
f: 6, s: 14, c: z, p: zjzcpzzxzzzctzjz, a: z == z, b: z == z, valid: false
f: 6, s: 17, c: v, p: hsfctvxwpgsvfnfxwncq, a: v == v, b: w == v, valid: true
f: 14, s: 16, c: p, p: ppppppppppppplpppppp, a: l == p, b: p == p, valid: true
f: 15, s: 18, c: l, p: lllllslllllllgnllf, a: n == l, b: f == l, valid: false
f: 7, s: 15, c: v, p: vvvvvvfpvnvvsvvgvv, a: f == v, b: v == v, valid: true
f: 3, s: 4, c: x, p: xxsx, a: s == x, b: x == x, valid: true
f: 8, s: 13, c: z, p: zzwzzrzzzzzqqz, a: z == z, b: q == z, valid: true
f: 7, s: 8, c: r, p: hrsrrrrzrb, a: r == r, b: z == r, valid: true
f: 3, s: 4, c: b, p: bzfg, a: f == b, b: g == b, valid: false
f: 5, s: 7, c: h, p: dhhthhhhr, a: h == h, b: h == h, valid: false
f: 1, s: 4, c: v, p: vcvv, a: v == v, b: v == v, valid: false
f: 5, s: 6, c: k, p: pkkkqkkk, a: q == k, b: k == k, valid: true
f: 13, s: 20, c: j, p: jjjjjsjjjjjjjjjjjjjj, a: j == j, b: j == j, valid: false
f: 3, s: 6, c: p, p: pgtpptpxptvc, a: t == p, b: t == p, valid: false
f: 1, s: 3, c: v, p: tvvvv, a: t == v, b: v == v, valid: true
f: 6, s: 15, c: b, p: mbbbbbbbbbbbbkbb, a: b == b, b: b == b, valid: false
f: 11, s: 15, c: q, p: qmqqqqqhqqqqqqqqdqcs, a: q == q, b: q == q, valid: false
f: 2, s: 6, c: g, p: dggggr, a: g == g, b: r == g, valid: true
f: 1, s: 4, c: j, p: jjldsjjhfg, a: j == j, b: d == j, valid: true
f: 2, s: 4, c: h, p: vhkwhhnhbhx, a: h == h, b: w == h, valid: true
f: 3, s: 5, c: z, p: zzzzzz, a: z == z, b: z == z, valid: false
f: 2, s: 4, c: s, p: stmw, a: t == s, b: w == s, valid: false
f: 12, s: 13, c: k, p: wkbcmmkhpklkdnnkdvk, a: k == k, b: d == k, valid: true
f: 19, s: 20, c: b, p: bbbbbbbbbbbbbbbbbbbj, a: b == b, b: j == b, valid: true
f: 6, s: 9, c: w, p: vwwwtcpwwgw, a: c == w, b: w == w, valid: true
f: 3, s: 5, c: j, p: jbsjpjj, a: s == j, b: p == j, valid: false
f: 10, s: 13, c: c, p: cdccqpccccccc, a: c == c, b: c == c, valid: false
f: 7, s: 9, c: q, p: qpqqqqqqw, a: q == q, b: w == q, valid: true
f: 15, s: 16, c: p, p: ppppppppppppppbd, a: b == p, b: d == p, valid: false
f: 6, s: 13, c: n, p: nnnnnqnnnnndknnnnnn, a: q == n, b: k == n, valid: false
f: 11, s: 14, c: t, p: ttttqtttttjtttt, a: j == t, b: t == t, valid: true
f: 4, s: 6, c: t, p: tttltz, a: l == t, b: z == t, valid: false
f: 3, s: 5, c: n, p: nnnrj, a: n == n, b: j == n, valid: true
f: 2, s: 13, c: h, p: hhhhhhshhmhlkh, a: h == h, b: k == h, valid: true
f: 1, s: 6, c: x, p: xxxxxcxxxx, a: x == x, b: c == x, valid: true
f: 4, s: 7, c: v, p: ddswdvq, a: w == v, b: q == v, valid: false
f: 3, s: 5, c: d, p: xjksdvdddddwcrqzj, a: k == d, b: d == d, valid: true
f: 6, s: 7, c: x, p: xxxxxfxx, a: f == x, b: x == x, valid: true
f: 3, s: 6, c: b, p: bbqbbll, a: q == b, b: l == b, valid: false
f: 9, s: 12, c: p, p: pppppppplppj, a: l == p, b: j == p, valid: false
f: 12, s: 13, c: w, p: wwwwwwwwwwwwzww, a: w == w, b: z == w, valid: true
f: 5, s: 11, c: q, p: qztqqwvldnm, a: q == q, b: m == q, valid: true
f: 1, s: 4, c: m, p: qmmj, a: q == m, b: j == m, valid: false
f: 3, s: 7, c: l, p: llpllwllt, a: p == l, b: l == l, valid: true
f: 2, s: 8, c: h, p: hmhhhhhrsfhh, a: m == h, b: r == h, valid: false
f: 8, s: 10, c: g, p: gggggggqgv, a: q == g, b: v == g, valid: false
f: 5, s: 7, c: g, p: pggzgggggggb, a: g == g, b: g == g, valid: false
f: 4, s: 7, c: v, p: gvvxvrv, a: x == v, b: v == v, valid: true
f: 3, s: 4, c: l, p: llkf, a: k == l, b: f == l, valid: false
f: 2, s: 6, c: q, p: wqzpqqvdhhjlhkhmwtft, a: q == q, b: q == q, valid: false
f: 2, s: 3, c: n, p: nnnrd, a: n == n, b: n == n, valid: false
f: 1, s: 5, c: h, p: kfqqk, a: k == h, b: k == h, valid: false
f: 7, s: 12, c: z, p: qczzzzdlclzzdpfgzzz, a: d == z, b: z == z, valid: true
f: 2, s: 4, c: m, p: vrjmnqrmrmvm, a: r == m, b: m == m, valid: true
f: 4, s: 6, c: h, p: hhhbkhpghh, a: b == h, b: h == h, valid: true
f: 5, s: 7, c: z, p: zzzzgwbz, a: g == z, b: b == z, valid: false
f: 5, s: 7, c: d, p: ddddkfdbdnd, a: k == d, b: d == d, valid: true
f: 8, s: 10, c: q, p: qqxqqgtxqwqg, a: x == q, b: w == q, valid: false
f: 5, s: 14, c: b, p: bbbbzbbrbbrbbnbbbbbb, a: z == b, b: n == b, valid: false
f: 8, s: 10, c: z, p: vzzpzkzzgzzzzz, a: z == z, b: z == z, valid: false
f: 8, s: 9, c: w, p: wwwwwwwwb, a: w == w, b: b == w, valid: true
f: 5, s: 11, c: d, p: ddqdhddgddddd, a: h == d, b: d == d, valid: true
f: 2, s: 9, c: h, p: fhhhhhhhhhh, a: h == h, b: h == h, valid: false
f: 7, s: 12, c: b, p: bbjbbwxbcwbbnb, a: x == b, b: b == b, valid: true
f: 1, s: 3, c: m, p: tmmdmmmm, a: t == m, b: m == m, valid: true
f: 2, s: 3, c: b, p: bqtnkbjhlrvz, a: q == b, b: t == b, valid: false
f: 2, s: 9, c: z, p: nzrbzzrzlzzzvzt, a: z == z, b: l == z, valid: true
f: 2, s: 4, c: v, p: vvmv, a: v == v, b: v == v, valid: false
f: 9, s: 10, c: q, p: fccjqpwhqqq, a: q == q, b: q == q, valid: false
f: 2, s: 12, c: q, p: qqqqqfqqqqqqvqqq, a: q == q, b: q == q, valid: false
f: 1, s: 4, c: c, p: cxnc, a: c == c, b: c == c, valid: false
f: 5, s: 6, c: q, p: qqzhqqzqqqj, a: q == q, b: q == q, valid: false
f: 2, s: 3, c: k, p: vkkk, a: k == k, b: k == k, valid: false
f: 8, s: 9, c: n, p: nnmnnnxnnnnnqtwp, a: n == n, b: n == n, valid: false
f: 2, s: 3, c: b, p: jrbzvcb, a: r == b, b: b == b, valid: true
f: 4, s: 5, c: w, p: wwlnk, a: n == w, b: k == w, valid: false
f: 4, s: 15, c: d, p: wdpddddmdddddddddd, a: d == d, b: d == d, valid: false
f: 10, s: 14, c: d, p: dddqdxfddjbfddd, a: j == d, b: d == d, valid: true
f: 5, s: 6, c: t, p: pttttmttp, a: t == t, b: m == t, valid: true
f: 3, s: 4, c: b, p: bbgdbbb, a: g == b, b: d == b, valid: false
f: 5, s: 6, c: b, p: rgtqbbb, a: b == b, b: b == b, valid: false
f: 7, s: 14, c: b, p: pwpbbhbvbzxfbbb, a: b == b, b: b == b, valid: false
f: 6, s: 10, c: p, p: zppvhbpmcpwpprp, a: b == p, b: p == p, valid: true
f: 1, s: 15, c: p, p: bpfdpppxxmkppppmg, a: b == p, b: p == p, valid: true
f: 9, s: 14, c: w, p: hmlxdbdcqmxxhw, a: q == w, b: w == w, valid: true
f: 1, s: 9, c: t, p: zrqqtdbwpqdd, a: z == t, b: p == t, valid: false
f: 4, s: 6, c: n, p: knrnlnznn, a: n == n, b: n == n, valid: false
f: 4, s: 9, c: l, p: gclwdmllglblnlzn, a: w == l, b: g == l, valid: false
f: 5, s: 7, c: c, p: ckccbvvgtlc, a: b == c, b: v == c, valid: false
f: 8, s: 11, c: p, p: ppppppppxpp, a: p == p, b: p == p, valid: false
f: 13, s: 14, c: w, p: wwwwwwwwwwwdwh, a: w == w, b: h == w, valid: true
f: 17, s: 18, c: k, p: kkkkkkkkkkkkkkkkkk, a: k == k, b: k == k, valid: false
f: 7, s: 11, c: c, p: qccmcnccccc, a: c == c, b: c == c, valid: false
f: 2, s: 7, c: m, p: vmbnrmmngtqkjlmmt, a: m == m, b: m == m, valid: false
f: 9, s: 12, c: m, p: mtmmmmmmmxnr, a: m == m, b: r == m, valid: true
f: 8, s: 12, c: j, p: rjjdjvdjjfhj, a: j == j, b: j == j, valid: false
f: 14, s: 16, c: h, p: hhlhwhhhhhhhhgbhh, a: g == h, b: h == h, valid: true
f: 10, s: 12, c: w, p: dxwwwwlwwwwkwlwpwdl, a: w == w, b: k == w, valid: true
f: 1, s: 3, c: w, p: wmwcwrfbpwtzwf, a: w == w, b: w == w, valid: false
f: 1, s: 6, c: j, p: bjjjjjjj, a: b == j, b: j == j, valid: true
f: 8, s: 13, c: f, p: ffffffffffffgf, a: f == f, b: g == f, valid: true
f: 1, s: 6, c: g, p: lghdgt, a: l == g, b: t == g, valid: false
f: 6, s: 8, c: s, p: sssslsfb, a: s == s, b: b == s, valid: true
f: 16, s: 17, c: c, p: cccccccccnmcccmkc, a: k == c, b: c == c, valid: true
f: 3, s: 4, c: z, p: zmzz, a: z == z, b: z == z, valid: false
f: 8, s: 11, c: c, p: cccccccdcccc, a: d == c, b: c == c, valid: true
f: 8, s: 15, c: p, p: lcnvhbjldhfsgwfvtbp, a: l == p, b: f == p, valid: false
f: 3, s: 4, c: q, p: qqqq, a: q == q, b: q == q, valid: false
f: 5, s: 7, c: b, p: bcpqbdq, a: b == b, b: q == b, valid: true
f: 1, s: 4, c: t, p: ttttttttttttdtttt, a: t == t, b: t == t, valid: false
f: 3, s: 14, c: v, p: cvlrwvzvjkdbdd, a: l == v, b: d == v, valid: false
f: 4, s: 8, c: l, p: fcdhlwwl, a: h == l, b: l == l, valid: true
f: 4, s: 5, c: m, p: mmmmpm, a: m == m, b: p == m, valid: true
f: 3, s: 4, c: h, p: hhqlhl, a: q == h, b: l == h, valid: false
f: 5, s: 6, c: r, p: mrrrqrr, a: q == r, b: r == r, valid: true
f: 4, s: 5, c: c, p: cvccc, a: c == c, b: c == c, valid: false
f: 11, s: 15, c: p, p: pppppppshpjpppszppp, a: j == p, b: s == p, valid: false
f: 6, s: 8, c: j, p: fjzbjjjjvkjj, a: j == j, b: j == j, valid: false
f: 3, s: 7, c: q, p: qqsqqqqq, a: s == q, b: q == q, valid: true
f: 1, s: 16, c: p, p: jpppqppppppvppdwp, a: j == p, b: w == p, valid: false
f: 2, s: 5, c: g, p: jgwlxzgbhpmqp, a: g == g, b: x == g, valid: true
f: 5, s: 6, c: p, p: pppppplppp, a: p == p, b: p == p, valid: false
f: 7, s: 18, c: r, p: wmbbsjrmmzzdlxbwcfhp, a: r == r, b: f == r, valid: true
f: 1, s: 4, c: w, p: wvwqn, a: w == w, b: q == w, valid: true
f: 6, s: 7, c: p, p: pppppcmp, a: c == p, b: m == p, valid: false
f: 15, s: 16, c: h, p: zhhhhhhhhhhhhhhhhh, a: h == h, b: h == h, valid: false
f: 2, s: 16, c: h, p: hrhhhhlthhwhqjhht, a: r == h, b: h == h, valid: true
f: 14, s: 17, c: k, p: kkkkkdkkkkxkkskkxkk, a: s == k, b: x == k, valid: false
f: 15, s: 16, c: d, p: dddddddddddddddf, a: d == d, b: f == d, valid: true
f: 2, s: 17, c: v, p: vwvvvvvvvvvbvvmvvr, a: w == v, b: v == v, valid: true
f: 7, s: 8, c: v, p: vvvvvvtd, a: t == v, b: d == v, valid: false
f: 1, s: 4, c: f, p: lftr, a: l == f, b: r == f, valid: false
f: 2, s: 4, c: h, p: hhrq, a: h == h, b: q == h, valid: true
f: 10, s: 15, c: s, p: qsnnssxsvtfssdssss, a: t == s, b: s == s, valid: true
f: 16, s: 17, c: n, p: nnnnnnnnnnnnnnnnn, a: n == n, b: n == n, valid: false
f: 1, s: 4, c: r, p: bldfswjgvrsf, a: b == r, b: f == r, valid: false
f: 10, s: 11, c: n, p: lnxknqwlnnxc, a: n == n, b: x == n, valid: true
f: 9, s: 14, c: k, p: tjxclnrddxnpmg, a: d == k, b: g == k, valid: false
f: 3, s: 10, c: v, p: tvvvqmvsvcvsc, a: v == v, b: c == v, valid: true
f: 3, s: 4, c: v, p: vnxrv, a: x == v, b: r == v, valid: false
f: 1, s: 6, c: k, p: kkgkdkmj, a: k == k, b: k == k, valid: false
f: 3, s: 4, c: h, p: jhbrh, a: b == h, b: r == h, valid: false
f: 8, s: 9, c: c, p: ctczkccknntcccrc, a: k == c, b: n == c, valid: false
f: 13, s: 14, c: t, p: ttsttdtcttttttj, a: t == t, b: t == t, valid: false
f: 1, s: 9, c: b, p: bfwjbbxbd, a: b == b, b: d == b, valid: true
f: 9, s: 10, c: m, p: xmdvtsbmgg, a: g == m, b: g == m, valid: false
f: 5, s: 6, c: w, p: wwwwww, a: w == w, b: w == w, valid: false
f: 2, s: 6, c: l, p: djlwlwkl, a: j == l, b: w == l, valid: false
f: 5, s: 6, c: h, p: hhvjtrkhh, a: t == h, b: r == h, valid: false
f: 3, s: 5, c: b, p: bsbbl, a: b == b, b: l == b, valid: true
f: 5, s: 7, c: p, p: vxpwppsppp, a: p == p, b: s == p, valid: true
f: 2, s: 4, c: d, p: zbnddd, a: b == d, b: d == d, valid: true
f: 3, s: 4, c: s, p: msjss, a: j == s, b: s == s, valid: true
f: 4, s: 7, c: l, p: llqllll, a: l == l, b: l == l, valid: false
f: 6, s: 18, c: w, p: wwwwwwwwwwwwwwwwwlw, a: w == w, b: l == w, valid: true
f: 13, s: 14, c: h, p: hqnlxqhfwlvhhh, a: h == h, b: h == h, valid: false
f: 7, s: 9, c: p, p: ppppppcphpp, a: c == p, b: h == p, valid: false
f: 5, s: 8, c: x, p: bjfxkbqxpzxhxwvxx, a: k == x, b: x == x, valid: true
f: 4, s: 5, c: h, p: hhhpphgh, a: p == h, b: p == h, valid: false
f: 4, s: 5, c: c, p: sczcccccc, a: c == c, b: c == c, valid: false
f: 4, s: 10, c: n, p: nnfnnnsdgnnsj, a: n == n, b: n == n, valid: false
f: 5, s: 6, c: j, p: jwjjmjj, a: m == j, b: j == j, valid: true
f: 1, s: 9, c: c, p: hcrlmrcdjwhqn, a: h == c, b: j == c, valid: false
f: 3, s: 5, c: x, p: xxjxvx, a: j == x, b: v == x, valid: false
f: 7, s: 13, c: x, p: xxvxxblxxnxxlx, a: l == x, b: l == x, valid: false
f: 3, s: 6, c: w, p: wwjwwwf, a: j == w, b: w == w, valid: true
f: 14, s: 18, c: m, p: mnmmmmmmmmmmmmjmmmm, a: m == m, b: m == m, valid: false
f: 3, s: 5, c: t, p: tslttjqvnb, a: l == t, b: t == t, valid: true
f: 1, s: 2, c: v, p: sfkvhj, a: s == v, b: f == v, valid: false
f: 2, s: 4, c: c, p: ccctc, a: c == c, b: t == c, valid: true
f: 5, s: 10, c: r, p: rrqptljvxtkrwsfdbr, a: t == r, b: t == r, valid: false
f: 3, s: 4, c: q, p: qbwqngvm, a: w == q, b: q == q, valid: true
f: 1, s: 4, c: t, p: nttnt, a: n == t, b: n == t, valid: false
f: 8, s: 10, c: f, p: fqmfrffftv, a: f == f, b: v == f, valid: true
f: 6, s: 7, c: h, p: hkhhhhhv, a: h == h, b: h == h, valid: false
f: 9, s: 17, c: f, p: hfzhbmrxsfwfxdffh, a: s == f, b: h == f, valid: false
f: 1, s: 10, c: t, p: tthttgtgtgttctt, a: t == t, b: g == t, valid: true
f: 2, s: 3, c: b, p: tlbsbcxzbfplpjlsvncg, a: l == b, b: b == b, valid: true
f: 8, s: 16, c: t, p: tdtttttpttttttttttt, a: p == t, b: t == t, valid: true
f: 8, s: 16, c: k, p: jkkmzlkkgvkkkwtj, a: k == k, b: j == k, valid: true
f: 13, s: 16, c: v, p: vvvvvvvnvvdvhvvw, a: h == v, b: w == v, valid: false
f: 7, s: 9, c: v, p: vvvvxvhlqvzmc, a: h == v, b: q == v, valid: false
f: 4, s: 6, c: l, p: gdjscq, a: s == l, b: q == l, valid: false
f: 9, s: 17, c: f, p: fffffqffsfffffffhff, a: s == f, b: h == f, valid: false
f: 4, s: 5, c: g, p: ggggb, a: g == g, b: b == g, valid: true
f: 2, s: 4, c: w, p: wnmh, a: n == w, b: h == w, valid: false
f: 7, s: 8, c: g, p: ggjgrqfgg, a: f == g, b: g == g, valid: true
f: 11, s: 13, c: k, p: rrkgxzkkqnljs, a: l == k, b: s == k, valid: false
f: 11, s: 15, c: v, p: vsvvvqvvvvwvvjcvvv, a: w == v, b: c == v, valid: false
f: 13, s: 15, c: c, p: ccccccccccccccvccc, a: c == c, b: v == c, valid: true
f: 1, s: 6, c: n, p: jpmcnjdbdn, a: j == n, b: j == n, valid: false
f: 3, s: 4, c: v, p: xvlffppmgzwvv, a: l == v, b: f == v, valid: false
f: 6, s: 12, c: j, p: jjjjjslsjbpj, a: s == j, b: j == j, valid: true
f: 10, s: 11, c: l, p: lrhljlqllldblll, a: l == l, b: d == l, valid: true
f: 8, s: 11, c: h, p: hdhghhczmxhhhhhw, a: z == h, b: h == h, valid: true
f: 2, s: 3, c: z, p: ztnt, a: t == z, b: n == z, valid: false
f: 6, s: 8, c: x, p: jxxxxqxmm, a: q == x, b: m == x, valid: false
f: 2, s: 6, c: n, p: nwnnntnnjt, a: w == n, b: t == n, valid: false
f: 8, s: 13, c: z, p: ztzzzzzbzzzzq, a: b == z, b: q == z, valid: false
f: 4, s: 13, c: v, p: vxvvvxvmvvvvvvhvv, a: v == v, b: v == v, valid: false
f: 11, s: 13, c: t, p: ntttftttxtstttwt, a: s == t, b: t == t, valid: true
f: 5, s: 6, c: d, p: dddznd, a: n == d, b: d == d, valid: true
f: 10, s: 15, c: t, p: trxttttttbbstttt, a: b == t, b: t == t, valid: true
f: 2, s: 4, c: t, p: tblp, a: b == t, b: p == t, valid: false
f: 8, s: 11, c: l, p: xllllllwlldl, a: w == l, b: d == l, valid: false
f: 12, s: 13, c: m, p: mmsmmmmmmmmvcm, a: v == m, b: c == m, valid: false
f: 3, s: 4, c: t, p: tthb, a: h == t, b: b == t, valid: false
f: 10, s: 12, c: c, p: cpsclccmccctccc, a: c == c, b: t == c, valid: true
f: 11, s: 12, c: k, p: pkkkrkkkkqkfkk, a: k == k, b: f == k, valid: true
f: 11, s: 13, c: v, p: vvbvvlvvvvvvt, a: v == v, b: t == v, valid: true
f: 6, s: 11, c: p, p: xkxfdpkkrdpb, a: p == p, b: p == p, valid: false
f: 13, s: 14, c: h, p: hhqskrdhrhphbb, a: b == h, b: b == h, valid: false
f: 2, s: 6, c: r, p: rdrrrr, a: d == r, b: r == r, valid: true
f: 1, s: 4, c: p, p: nppg, a: n == p, b: g == p, valid: false
f: 5, s: 6, c: h, p: hgpbhh, a: h == h, b: h == h, valid: false
f: 4, s: 5, c: l, p: mrgzlxlchgjgwrlmvxl, a: z == l, b: l == l, valid: true
f: 6, s: 11, c: b, p: bbbbbbbbbbbbb, a: b == b, b: b == b, valid: false
f: 2, s: 5, c: s, p: svsvss, a: v == s, b: s == s, valid: true
f: 10, s: 18, c: j, p: jjjdjjjjzjfjjjjjbj, a: j == j, b: j == j, valid: false
f: 1, s: 14, c: p, p: tjphtjfnbhhgrmzdp, a: t == p, b: m == p, valid: false
f: 2, s: 4, c: v, p: vvvv, a: v == v, b: v == v, valid: false
f: 5, s: 7, c: q, p: vqvnbqdqhwqxqv, a: b == q, b: d == q, valid: false
f: 6, s: 7, c: m, p: mmmmmlj, a: l == m, b: j == m, valid: false
f: 9, s: 10, c: g, p: ggggggggggg, a: g == g, b: g == g, valid: false
f: 7, s: 13, c: n, p: sqnjnnrnnfnnn, a: r == n, b: n == n, valid: true
f: 2, s: 4, c: f, p: fbrfkhfkfcgjfp, a: b == f, b: f == f, valid: true
f: 2, s: 3, c: b, p: wfwjlbx, a: f == b, b: w == b, valid: false
f: 16, s: 17, c: r, p: rrrrrrrrrdrrrrrrr, a: r == r, b: r == r, valid: false
f: 3, s: 7, c: b, p: vkksbzbbhpwb, a: k == b, b: b == b, valid: true
f: 2, s: 4, c: m, p: fmcr, a: m == m, b: r == m, valid: true
f: 9, s: 20, c: v, p: vfvvxnvvdwhvxvvvqlvj, a: d == v, b: j == v, valid: false
f: 6, s: 9, c: b, p: jgjrcbnftrlbhp, a: b == b, b: t == b, valid: true
f: 4, s: 9, c: x, p: hrqtpwzjxxx, a: t == x, b: x == x, valid: true
f: 7, s: 9, c: h, p: hhhhhxnhdh, a: n == h, b: d == h, valid: false
f: 7, s: 8, c: k, p: kkkkrtsphkk, a: s == k, b: p == k, valid: false
f: 6, s: 7, c: n, p: jnnnblnnj, a: l == n, b: n == n, valid: true
f: 10, s: 15, c: d, p: dddddddddkddddt, a: k == d, b: t == d, valid: false
f: 2, s: 8, c: p, p: npbdhcgpl, a: p == p, b: p == p, valid: false
f: 9, s: 10, c: x, p: xqxxxxxzxvx, a: x == x, b: v == x, valid: true
f: 5, s: 9, c: k, p: khtkkwkkxqm, a: k == k, b: x == k, valid: true
f: 1, s: 5, c: t, p: stttttttgttttt, a: s == t, b: t == t, valid: true
f: 5, s: 13, c: w, p: wwhfjkshrwfpnlwjjmq, a: j == w, b: n == w, valid: false
f: 4, s: 9, c: x, p: rzfrxzcxvxxx, a: r == x, b: v == x, valid: false
f: 3, s: 4, c: g, p: hgfgg, a: f == g, b: g == g, valid: true
f: 2, s: 3, c: n, p: nnnn, a: n == n, b: n == n, valid: false
f: 11, s: 14, c: j, p: jjjjjjjjjjjjjj, a: j == j, b: j == j, valid: false
f: 9, s: 10, c: m, p: mmmmmmmmmm, a: m == m, b: m == m, valid: false
f: 7, s: 8, c: m, p: mmmmzmkmjhhwzmmwp, a: k == m, b: m == m, valid: true
f: 2, s: 5, c: r, p: rrzrr, a: r == r, b: r == r, valid: false
f: 3, s: 4, c: w, p: vnwpww, a: w == w, b: p == w, valid: true
f: 5, s: 9, c: h, p: hzhhhhhjgmswvbxfr, a: h == h, b: g == h, valid: true
f: 6, s: 10, c: h, p: cvhhhlhhhz, a: l == h, b: z == h, valid: false
f: 4, s: 5, c: g, p: xxgggzg, a: g == g, b: g == g, valid: false
f: 1, s: 2, c: d, p: dddcf, a: d == d, b: d == d, valid: false
f: 5, s: 8, c: v, p: vvvvvvvpxv, a: v == v, b: p == v, valid: true
f: 7, s: 9, c: b, p: bbkbjbpsbbbbtkblmr, a: p == b, b: b == b, valid: true
f: 6, s: 8, c: f, p: fffffmfgfff, a: m == f, b: g == f, valid: false
f: 2, s: 8, c: f, p: zfskzfjjwfjsf, a: f == f, b: j == f, valid: true
f: 4, s: 5, c: v, p: lvdvdvv, a: v == v, b: d == v, valid: true
f: 4, s: 5, c: p, p: ppbkrjp, a: k == p, b: r == p, valid: false
f: 6, s: 14, c: z, p: zzzzzrzzzzzzzhzzw, a: r == z, b: h == z, valid: false
f: 5, s: 7, c: g, p: cbbfngwggzs, a: n == g, b: w == g, valid: false
f: 2, s: 4, c: n, p: nfpnnhnkpgmjdgc, a: f == n, b: n == n, valid: true
f: 11, s: 14, c: h, p: hhhqchbhhhwhhhqjjhhn, a: w == h, b: h == h, valid: true
f: 5, s: 7, c: q, p: qqqqqqq, a: q == q, b: q == q, valid: false
f: 2, s: 3, c: s, p: sssjs, a: s == s, b: s == s, valid: false
f: 11, s: 17, c: w, p: wwwxwwwwwwhwwwwwrwww, a: h == w, b: r == w, valid: false
f: 12, s: 13, c: n, p: nnhtsnxqndxnlnnn, a: n == n, b: l == n, valid: true
f: 8, s: 10, c: j, p: jjjjjjjhjj, a: h == j, b: j == j, valid: true
f: 15, s: 16, c: z, p: zzzzzzzzzzzzzzzg, a: z == z, b: g == z, valid: true
f: 2, s: 5, c: j, p: jfjpk, a: f == j, b: k == j, valid: false
f: 1, s: 10, c: z, p: mzfzzzzzzpzzz, a: m == z, b: p == z, valid: false
f: 13, s: 15, c: v, p: vcvvrvdvvvvvvvvvvv, a: v == v, b: v == v, valid: false
f: 11, s: 12, c: j, p: jljjljqjvjmhjjj, a: m == j, b: h == j, valid: false
f: 1, s: 7, c: c, p: cctccvv, a: c == c, b: v == c, valid: true
f: 6, s: 17, c: s, p: slqssbsswsssszswsss, a: b == s, b: s == s, valid: true
f: 16, s: 17, c: s, p: klksgsgtpsnrpslzs, a: z == s, b: s == s, valid: true
f: 12, s: 13, c: m, p: mmmmmmmmmxmmfm, a: m == m, b: f == m, valid: true
f: 18, s: 20, c: v, p: vvvvvvrvvvvvvvvvvlvs, a: l == v, b: s == v, valid: false
f: 18, s: 19, c: d, p: ddddddddddddddddddv, a: d == d, b: v == d, valid: true
f: 4, s: 5, c: p, p: srsjp, a: j == p, b: p == p, valid: true
f: 2, s: 5, c: d, p: czvdk, a: z == d, b: k == d, valid: false
f: 5, s: 11, c: w, p: pwgbslprbkk, a: s == w, b: k == w, valid: false
f: 15, s: 16, c: b, p: bbbbbbbbbbjbbbbqnb, a: b == b, b: q == b, valid: true
f: 7, s: 8, c: h, p: hhhhhwxt, a: x == h, b: t == h, valid: false
f: 11, s: 12, c: g, p: ggggggggtqggg, a: g == g, b: g == g, valid: false
f: 10, s: 11, c: m, p: mmmmmmmmmfk, a: f == m, b: k == m, valid: false
f: 4, s: 6, c: m, p: qvlmmbmmmdrmpcqmmfq, a: m == m, b: b == m, valid: true
f: 1, s: 10, c: r, p: xrrrrdrrrnrvzrrrrmrr, a: x == r, b: n == r, valid: false
f: 5, s: 9, c: p, p: pljpvppkgc, a: v == p, b: g == p, valid: false
f: 13, s: 14, c: j, p: jjjjjjjqjjjjwv, a: w == j, b: v == j, valid: false
f: 6, s: 8, c: g, p: gggggggqg, a: g == g, b: q == g, valid: true
f: 2, s: 7, c: b, p: bbkkdwb, a: b == b, b: b == b, valid: false
f: 3, s: 16, c: q, p: fqqqqlqqqqqqqqqhqqqh, a: q == q, b: h == q, valid: true
f: 3, s: 5, c: x, p: xfjxv, a: j == x, b: v == x, valid: false
